venue,venuename,id,venuesMajorDisciplinary,venuesOtherDisciplinary,concepts
https://openalex.org/V38993383,IEEE Transactions on Haptics,292,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C86803240', 'https://openalex.org/C121332964', 'https://openalex.org/C15744967', 'https://openalex.org/C138885662', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C71924100', 'https://openalex.org/C192562407']","['https://openalex.org/C41008148', 'https://openalex.org/C154945302', 'https://openalex.org/C127413603', 'https://openalex.org/C111919701', 'https://openalex.org/C44154836', 'https://openalex.org/C152086174', 'https://openalex.org/C86803240', 'https://openalex.org/C121332964', 'https://openalex.org/C107457646', 'https://openalex.org/C31972630', 'https://openalex.org/C15744967', 'https://openalex.org/C169760540', 'https://openalex.org/C138885662', 'https://openalex.org/C111472728', 'https://openalex.org/C26760741', 'https://openalex.org/C194969405', 'https://openalex.org/C33923547', 'https://openalex.org/C90509273', 'https://openalex.org/C62520636', 'https://openalex.org/C24890656', 'https://openalex.org/C162324750', 'https://openalex.org/C187736073', 'https://openalex.org/C2778360479', 'https://openalex.org/C71924100', 'https://openalex.org/C192562407']"
https://openalex.org/V45003570,Performance Evaluation,307,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C162324750']","['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C31258907', 'https://openalex.org/C127413603', 'https://openalex.org/C162324750', 'https://openalex.org/C199360897', 'https://openalex.org/C105795698', 'https://openalex.org/C111919701']"
https://openalex.org/V57053800,New Library World,339,['https://openalex.org/C41008148'],"['https://openalex.org/C17744445', 'https://openalex.org/C144024400', 'https://openalex.org/C144133560', 'https://openalex.org/C162324750']","['https://openalex.org/C41008148', 'https://openalex.org/C17744445', 'https://openalex.org/C161191863', 'https://openalex.org/C144024400', 'https://openalex.org/C136764020', 'https://openalex.org/C199539241', 'https://openalex.org/C144133560', 'https://openalex.org/C162324750', 'https://openalex.org/C39549134']"
https://openalex.org/V61310614,IEEE Transactions on Information Forensics and Security,358,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C15744967', 'https://openalex.org/C17744445', 'https://openalex.org/C121332964', 'https://openalex.org/C86803240']","['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C38652104', 'https://openalex.org/C154945302', 'https://openalex.org/C111919701', 'https://openalex.org/C31258907', 'https://openalex.org/C31972630', 'https://openalex.org/C127413603', 'https://openalex.org/C11413529', 'https://openalex.org/C105795698', 'https://openalex.org/C15744967', 'https://openalex.org/C178980831', 'https://openalex.org/C180747234', 'https://openalex.org/C153180895', 'https://openalex.org/C199539241', 'https://openalex.org/C17744445', 'https://openalex.org/C125565743', 'https://openalex.org/C76155785', 'https://openalex.org/C121332964', 'https://openalex.org/C199360897', 'https://openalex.org/C119857082', 'https://openalex.org/C119599485', 'https://openalex.org/C86803240']"
https://openalex.org/V59670734,Theory and Practice of Logic Programming,390,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C138885662', 'https://openalex.org/C127413603']","['https://openalex.org/C41008148', 'https://openalex.org/C199360897', 'https://openalex.org/C80444323', 'https://openalex.org/C154945302', 'https://openalex.org/C33923547', 'https://openalex.org/C128838566', 'https://openalex.org/C177264268', 'https://openalex.org/C182620335', 'https://openalex.org/C138885662', 'https://openalex.org/C11413529', 'https://openalex.org/C127413603']"
https://openalex.org/V60115552,"Computers, Environment and Urban Systems",392,['https://openalex.org/C41008148'],"['https://openalex.org/C205649164', 'https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C86803240', 'https://openalex.org/C127313418', 'https://openalex.org/C17744445', 'https://openalex.org/C144133560', 'https://openalex.org/C39432304']","['https://openalex.org/C41008148', 'https://openalex.org/C205649164', 'https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C86803240', 'https://openalex.org/C127313418', 'https://openalex.org/C17744445', 'https://openalex.org/C154945302', 'https://openalex.org/C199539241', 'https://openalex.org/C18903297', 'https://openalex.org/C144133560', 'https://openalex.org/C58640448', 'https://openalex.org/C62649853', 'https://openalex.org/C39432304', 'https://openalex.org/C111919701']"
https://openalex.org/V66133898,Photogrammetrie Fernerkundung Geoinformation,408,['https://openalex.org/C41008148'],"['https://openalex.org/C205649164', 'https://openalex.org/C127313418', 'https://openalex.org/C121332964', 'https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C39432304', 'https://openalex.org/C86803240']","['https://openalex.org/C41008148', 'https://openalex.org/C205649164', 'https://openalex.org/C127313418', 'https://openalex.org/C154945302', 'https://openalex.org/C62649853', 'https://openalex.org/C31972630', 'https://openalex.org/C121332964', 'https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C39432304', 'https://openalex.org/C120665830', 'https://openalex.org/C86803240']"
https://openalex.org/V73201230,Advanced Science Letters,432,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C33923547', 'https://openalex.org/C86803240', 'https://openalex.org/C192562407', 'https://openalex.org/C162324750', 'https://openalex.org/C185592680', 'https://openalex.org/C15744967', 'https://openalex.org/C144133560', 'https://openalex.org/C17744445']","['https://openalex.org/C41008148', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C33923547', 'https://openalex.org/C86803240', 'https://openalex.org/C192562407', 'https://openalex.org/C62520636', 'https://openalex.org/C162324750', 'https://openalex.org/C185592680', 'https://openalex.org/C15744967', 'https://openalex.org/C144133560', 'https://openalex.org/C17744445']"
https://openalex.org/V73695343,Medical Informatics and The Internet in Medicine,436,['https://openalex.org/C41008148'],"['https://openalex.org/C71924100', 'https://openalex.org/C17744445', 'https://openalex.org/C162324750', 'https://openalex.org/C86803240', 'https://openalex.org/C33923547', 'https://openalex.org/C15744967', 'https://openalex.org/C127413603', 'https://openalex.org/C185592680', 'https://openalex.org/C121332964']","['https://openalex.org/C41008148', 'https://openalex.org/C71924100', 'https://openalex.org/C199539241', 'https://openalex.org/C17744445', 'https://openalex.org/C162324750', 'https://openalex.org/C86803240', 'https://openalex.org/C111919701', 'https://openalex.org/C50522688', 'https://openalex.org/C160735492', 'https://openalex.org/C136764020', 'https://openalex.org/C154945302', 'https://openalex.org/C33923547', 'https://openalex.org/C15744967', 'https://openalex.org/C127413603', 'https://openalex.org/C126322002', 'https://openalex.org/C142724271', 'https://openalex.org/C185592680', 'https://openalex.org/C55493867', 'https://openalex.org/C121332964', 'https://openalex.org/C159110408']"
https://openalex.org/V75343556,International Journal of Humanoid Robotics,442,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C162324750', 'https://openalex.org/C86803240', 'https://openalex.org/C33923547', 'https://openalex.org/C15744967', 'https://openalex.org/C71924100', 'https://openalex.org/C138885662']","['https://openalex.org/C41008148', 'https://openalex.org/C154945302', 'https://openalex.org/C90509273', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C162324750', 'https://openalex.org/C107457646', 'https://openalex.org/C86803240', 'https://openalex.org/C187736073', 'https://openalex.org/C33923547', 'https://openalex.org/C31972630', 'https://openalex.org/C60692881', 'https://openalex.org/C62520636', 'https://openalex.org/C2775924081', 'https://openalex.org/C74650414', 'https://openalex.org/C15744967', 'https://openalex.org/C44154836', 'https://openalex.org/C65244806', 'https://openalex.org/C71924100', 'https://openalex.org/C47446073', 'https://openalex.org/C138885662']"
https://openalex.org/V80798719,International Journal of Emerging Electric Power Systems,460,['https://openalex.org/C41008148'],"['https://openalex.org/C121332964', 'https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C86803240', 'https://openalex.org/C127313418']","['https://openalex.org/C41008148', 'https://openalex.org/C121332964', 'https://openalex.org/C127413603', 'https://openalex.org/C62520636', 'https://openalex.org/C119599485', 'https://openalex.org/C97355855', 'https://openalex.org/C163258240', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C154945302', 'https://openalex.org/C165801399', 'https://openalex.org/C187736073', 'https://openalex.org/C2775924081', 'https://openalex.org/C86803240', 'https://openalex.org/C89227174', 'https://openalex.org/C47446073', 'https://openalex.org/C18903297', 'https://openalex.org/C127313418', 'https://openalex.org/C2524010']"
https://openalex.org/V63576417,Internet Research,464,['https://openalex.org/C41008148'],"['https://openalex.org/C144133560', 'https://openalex.org/C17744445', 'https://openalex.org/C15744967', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C138885662', 'https://openalex.org/C127413603', 'https://openalex.org/C144024400']","['https://openalex.org/C41008148', 'https://openalex.org/C136764020', 'https://openalex.org/C144133560', 'https://openalex.org/C111919701', 'https://openalex.org/C17744445', 'https://openalex.org/C199539241', 'https://openalex.org/C110875604', 'https://openalex.org/C15744967', 'https://openalex.org/C162853370', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C112698675', 'https://openalex.org/C518677369', 'https://openalex.org/C138885662', 'https://openalex.org/C127413603', 'https://openalex.org/C77805123', 'https://openalex.org/C144024400']"
https://openalex.org/V79460864,Information Retrieval,510,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C138885662']","['https://openalex.org/C41008148', 'https://openalex.org/C23123220', 'https://openalex.org/C154945302', 'https://openalex.org/C136764020', 'https://openalex.org/C33923547', 'https://openalex.org/C119857082', 'https://openalex.org/C138885662', 'https://openalex.org/C204321447', 'https://openalex.org/C124101348']"
https://openalex.org/V83386566,Human Factors,523,['https://openalex.org/C41008148'],"['https://openalex.org/C15744967', 'https://openalex.org/C127413603', 'https://openalex.org/C71924100', 'https://openalex.org/C86803240', 'https://openalex.org/C121332964', 'https://openalex.org/C162324750', 'https://openalex.org/C33923547', 'https://openalex.org/C138885662']","['https://openalex.org/C41008148', 'https://openalex.org/C15744967', 'https://openalex.org/C127413603', 'https://openalex.org/C71924100', 'https://openalex.org/C86803240', 'https://openalex.org/C154945302', 'https://openalex.org/C3017944768', 'https://openalex.org/C121332964', 'https://openalex.org/C162324750', 'https://openalex.org/C187736073', 'https://openalex.org/C169760540', 'https://openalex.org/C33923547', 'https://openalex.org/C180747234', 'https://openalex.org/C138885662']"
https://openalex.org/V90422530,IEEE Journal on Selected Areas in Communications,540,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C121332964']","['https://openalex.org/C41008148', 'https://openalex.org/C127413603', 'https://openalex.org/C76155785', 'https://openalex.org/C31258907', 'https://openalex.org/C111919701', 'https://openalex.org/C33923547', 'https://openalex.org/C119599485', 'https://openalex.org/C105795698', 'https://openalex.org/C555944384', 'https://openalex.org/C121332964', 'https://openalex.org/C24326235', 'https://openalex.org/C156996364', 'https://openalex.org/C62520636', 'https://openalex.org/C38652104', 'https://openalex.org/C11413529', 'https://openalex.org/C113841659', 'https://openalex.org/C120314980']"
https://openalex.org/V91348919,Constructivist Foundations,542,['https://openalex.org/C41008148'],"['https://openalex.org/C138885662', 'https://openalex.org/C15744967', 'https://openalex.org/C144024400', 'https://openalex.org/C33923547', 'https://openalex.org/C17744445']","['https://openalex.org/C41008148', 'https://openalex.org/C138885662', 'https://openalex.org/C154945302', 'https://openalex.org/C111472728', 'https://openalex.org/C15744967', 'https://openalex.org/C144024400', 'https://openalex.org/C11620657', 'https://openalex.org/C33923547', 'https://openalex.org/C34048319', 'https://openalex.org/C19417346', 'https://openalex.org/C145420912', 'https://openalex.org/C192177671', 'https://openalex.org/C2777407727', 'https://openalex.org/C17744445', 'https://openalex.org/C199539241', 'https://openalex.org/C94625758', 'https://openalex.org/C133281099', 'https://openalex.org/C34355311', 'https://openalex.org/C188147891']"
https://openalex.org/V84022812,World Patent Information,570,['https://openalex.org/C41008148'],"['https://openalex.org/C17744445', 'https://openalex.org/C144133560', 'https://openalex.org/C127413603']","['https://openalex.org/C41008148', 'https://openalex.org/C17744445', 'https://openalex.org/C144133560', 'https://openalex.org/C199539241', 'https://openalex.org/C127413603', 'https://openalex.org/C111919701', 'https://openalex.org/C78519656', 'https://openalex.org/C2780342482', 'https://openalex.org/C34974158', 'https://openalex.org/C119599485', 'https://openalex.org/C2779534841']"
https://openalex.org/V84409463,Acta Informatica,571,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C138885662']","['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C199360897', 'https://openalex.org/C11413529', 'https://openalex.org/C24858836', 'https://openalex.org/C80444323', 'https://openalex.org/C114614502', 'https://openalex.org/C138885662', 'https://openalex.org/C118615104', 'https://openalex.org/C154945302']"
https://openalex.org/V97068678,Aslib Proceedings,606,['https://openalex.org/C41008148'],"['https://openalex.org/C17744445', 'https://openalex.org/C144133560', 'https://openalex.org/C144024400', 'https://openalex.org/C127413603', 'https://openalex.org/C162324750', 'https://openalex.org/C15744967']","['https://openalex.org/C41008148', 'https://openalex.org/C17744445', 'https://openalex.org/C136764020', 'https://openalex.org/C199539241', 'https://openalex.org/C144133560', 'https://openalex.org/C144024400', 'https://openalex.org/C111919701', 'https://openalex.org/C161191863', 'https://openalex.org/C39549134', 'https://openalex.org/C127413603', 'https://openalex.org/C110875604', 'https://openalex.org/C162324750', 'https://openalex.org/C23123220', 'https://openalex.org/C15744967', 'https://openalex.org/C56739046']"
https://openalex.org/V106148199,Cluster Computing,637,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C17744445', 'https://openalex.org/C162324750', 'https://openalex.org/C121332964', 'https://openalex.org/C86803240']","['https://openalex.org/C41008148', 'https://openalex.org/C111919701', 'https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C31258907', 'https://openalex.org/C154945302', 'https://openalex.org/C199360897', 'https://openalex.org/C120314980', 'https://openalex.org/C17744445', 'https://openalex.org/C199539241', 'https://openalex.org/C119857082', 'https://openalex.org/C162324750', 'https://openalex.org/C121332964', 'https://openalex.org/C11413529', 'https://openalex.org/C79974875', 'https://openalex.org/C105795698', 'https://openalex.org/C76155785', 'https://openalex.org/C86803240', 'https://openalex.org/C38652104']"
https://openalex.org/V111667038,Edn,653,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C121332964']","['https://openalex.org/C41008148', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C119599485', 'https://openalex.org/C62520636', 'https://openalex.org/C111919701', 'https://openalex.org/C76155785', 'https://openalex.org/C9390403']"
https://openalex.org/V112676551,Ibm Systems Journal,658,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750']","['https://openalex.org/C41008148', 'https://openalex.org/C111919701', 'https://openalex.org/C127413603', 'https://openalex.org/C199360897', 'https://openalex.org/C2777904410', 'https://openalex.org/C115903868', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750']"
https://openalex.org/V106179100,Journal of Information Science and Engineering,688,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C15744967']","['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C111919701', 'https://openalex.org/C154945302', 'https://openalex.org/C127413603', 'https://openalex.org/C199360897', 'https://openalex.org/C31258907', 'https://openalex.org/C11413529', 'https://openalex.org/C125565743', 'https://openalex.org/C121332964', 'https://openalex.org/C38652104', 'https://openalex.org/C105795698', 'https://openalex.org/C15744967', 'https://openalex.org/C31972630']"
https://openalex.org/V110206669,Multimedia Tools and Applications,700,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C15744967', 'https://openalex.org/C138885662', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C86803240']","['https://openalex.org/C41008148', 'https://openalex.org/C154945302', 'https://openalex.org/C33923547', 'https://openalex.org/C31972630', 'https://openalex.org/C125565743', 'https://openalex.org/C15744967', 'https://openalex.org/C178980831', 'https://openalex.org/C180747234', 'https://openalex.org/C153180895', 'https://openalex.org/C115961682', 'https://openalex.org/C119857082', 'https://openalex.org/C138885662', 'https://openalex.org/C111919701', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C11413529', 'https://openalex.org/C41895202', 'https://openalex.org/C199360897', 'https://openalex.org/C86803240', 'https://openalex.org/C105795698']"
https://openalex.org/V114241109,IEEE Intelligent Systems,710,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C33923547']","['https://openalex.org/C41008148', 'https://openalex.org/C154945302', 'https://openalex.org/C127413603', 'https://openalex.org/C119857082', 'https://openalex.org/C33923547', 'https://openalex.org/C111919701', 'https://openalex.org/C136764020', 'https://openalex.org/C199360897', 'https://openalex.org/C107457646']"
https://openalex.org/V116977442,IEEE Transactions on Circuits and Systems I-regular Papers,719,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C192562407']","['https://openalex.org/C41008148', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C33923547', 'https://openalex.org/C119599485', 'https://openalex.org/C62520636', 'https://openalex.org/C76155785', 'https://openalex.org/C24326235', 'https://openalex.org/C154945302', 'https://openalex.org/C113841659', 'https://openalex.org/C162324750', 'https://openalex.org/C165801399', 'https://openalex.org/C187736073', 'https://openalex.org/C192562407', 'https://openalex.org/C65244806', 'https://openalex.org/C11413529', 'https://openalex.org/C2775924081', 'https://openalex.org/C47446073', 'https://openalex.org/C111919701', 'https://openalex.org/C97355855', 'https://openalex.org/C49040817', 'https://openalex.org/C105795698']"
https://openalex.org/V120060627,Traitement Du Signal,751,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C121332964', 'https://openalex.org/C15744967', 'https://openalex.org/C138885662']","['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C154945302', 'https://openalex.org/C31972630', 'https://openalex.org/C121332964', 'https://openalex.org/C15744967', 'https://openalex.org/C178980831', 'https://openalex.org/C180747234', 'https://openalex.org/C153180895', 'https://openalex.org/C11413529', 'https://openalex.org/C125565743', 'https://openalex.org/C115961682', 'https://openalex.org/C138885662']"
https://openalex.org/V123849098,Behaviour & Information Technology,772,['https://openalex.org/C41008148'],"['https://openalex.org/C15744967', 'https://openalex.org/C127413603', 'https://openalex.org/C17744445', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C86803240', 'https://openalex.org/C138885662', 'https://openalex.org/C144133560']","['https://openalex.org/C41008148', 'https://openalex.org/C15744967', 'https://openalex.org/C107457646', 'https://openalex.org/C111919701', 'https://openalex.org/C127413603', 'https://openalex.org/C17744445', 'https://openalex.org/C199539241', 'https://openalex.org/C136764020', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C86803240', 'https://openalex.org/C138885662', 'https://openalex.org/C154945302', 'https://openalex.org/C144133560', 'https://openalex.org/C77805123', 'https://openalex.org/C56739046']"
https://openalex.org/V123865067,Infosecurity Today,773,['https://openalex.org/C41008148'],"['https://openalex.org/C144133560', 'https://openalex.org/C17744445']","['https://openalex.org/C41008148', 'https://openalex.org/C38652104', 'https://openalex.org/C144133560', 'https://openalex.org/C17744445', 'https://openalex.org/C108827166', 'https://openalex.org/C111919701']"
https://openalex.org/V124739764,Flexible Services and Manufacturing Journal,776,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C162324750', 'https://openalex.org/C144133560', 'https://openalex.org/C17744445']","['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C162324750', 'https://openalex.org/C144133560', 'https://openalex.org/C126255220', 'https://openalex.org/C42475967', 'https://openalex.org/C111919701', 'https://openalex.org/C162853370', 'https://openalex.org/C21547014', 'https://openalex.org/C199539241', 'https://openalex.org/C17744445', 'https://openalex.org/C31258907', 'https://openalex.org/C125565743', 'https://openalex.org/C206729178', 'https://openalex.org/C78519656', 'https://openalex.org/C108713360', 'https://openalex.org/C187736073']"
https://openalex.org/V143568823,Library Hi Tech,861,['https://openalex.org/C41008148'],"['https://openalex.org/C17744445', 'https://openalex.org/C127413603', 'https://openalex.org/C144133560', 'https://openalex.org/C138885662', 'https://openalex.org/C142362112']","['https://openalex.org/C41008148', 'https://openalex.org/C136764020', 'https://openalex.org/C111919701', 'https://openalex.org/C17744445', 'https://openalex.org/C161191863', 'https://openalex.org/C199539241', 'https://openalex.org/C127413603', 'https://openalex.org/C144133560', 'https://openalex.org/C138885662', 'https://openalex.org/C142362112', 'https://openalex.org/C41895202']"
